,task,dataset,boot_iter,algorithm,scoring,n_trees,regularization,train_score,test_score,train_wall_time,test_wall_time,train_cpu_time,test_cpu_time,tunning_wall_time,tunning_cpu_time
0,classification,heart,1,RF,AUC,100,None,1.0,0.89975,0.058185577392578125,0.010814428329467773,0.058168839999950706,0.010815089999994143,,
0,classification,heart,1,RF-MTRY,AUC,100,RandomForestClassifier(max_features=0.4662195513600276),1.0,0.87775,0.08349728584289551,0.01097249984741211,0.6018316599999594,0.010937150000017937,3.6520919799804688,11.900489270000037
0,classification,heart,1,RF-DEPTH,AUC,100,RandomForestClassifier(max_depth=2),0.937875,0.8855,0.0729825496673584,0.010275602340698242,0.5738013299999807,0.010248079999996662,3.551400661468506,11.937281830000018
0,classification,heart,1,HS-RF,AUC,100,25.0,0.990375,0.8895,0.10784912109375,0.010806798934936523,0.10785105000002204,0.010803660000021864,1.8406009674072266,1.8404237400000056
0,classification,heart,1,RF,AUC,300,None,1.0,0.8972500000000001,0.17561793327331543,0.03213071823120117,0.1756043099999829,0.032131909999975505,,
0,classification,heart,1,RF-MTRY,AUC,300,"RandomForestClassifier(max_features=0.2187648341924731, n_estimators=300)",1.0,0.8934999999999998,0.26628851890563965,0.03246283531188965,0.5176813599999832,0.03246454999998605,9.399792671203613,18.263888000999998
0,classification,heart,1,RF-DEPTH,AUC,300,"RandomForestClassifier(max_depth=3, n_estimators=300)",0.953125,0.8995,0.18708395957946777,0.030205726623535156,0.5898289200000022,0.03020804000004773,8.901540994644165,17.45967889100001
0,classification,heart,1,HS-RF,AUC,300,25.0,0.98975,0.903,0.31909990310668945,0.032257795333862305,0.31909630000001243,0.032259680000038315,5.464968204498291,5.464930310999989
0,classification,heart,1,RF,AUC,500,None,1.0,0.89725,0.29209470748901367,0.05244731903076172,0.29208818000000747,0.05244871999997258,,
0,classification,heart,1,RF-MTRY,AUC,500,"RandomForestClassifier(max_features=0.21477661969585818, n_estimators=500)",1.0,0.89725,0.3093583583831787,0.053391456604003906,0.7921728900000176,0.05337874000002785,15.065101861953735,23.132248301000004
0,classification,heart,1,RF-DEPTH,AUC,500,"RandomForestClassifier(max_depth=2, n_estimators=500)",0.935625,0.895,0.30442380905151367,0.04908490180969238,0.8328488500000049,0.049080590000016855,14.226024866104126,22.43483998199997
0,classification,heart,1,HS-RF,AUC,500,10.0,0.998,0.902,0.5300958156585693,0.053238630294799805,0.5301162700000077,0.05322727000003624,8.996325731277466,8.996587019999993
0,classification,heart,2,RF,AUC,10,None,1.0,0.87825,0.00625300407409668,0.0013697147369384766,0.006253210000011222,0.0013703399999940302,,
0,classification,heart,2,RF-MTRY,AUC,10,"RandomForestClassifier(max_features=0.852850722518407, n_estimators=10)",1.0,0.8275000000000001,0.010045528411865234,0.0016987323760986328,0.09795919999999114,0.01684571999999207,1.318065881729126,9.826686451
0,classification,heart,2,RF-DEPTH,AUC,10,"RandomForestClassifier(max_depth=2, n_estimators=10)",0.9312500000000001,0.89125,0.008701086044311523,0.0017306804656982422,0.0933228700000086,0.01731671999999662,1.298295021057129,9.680955409999967
0,classification,heart,2,HS-RF,AUC,10,10.0,0.9985,0.877,0.01155996322631836,0.0013594627380371094,0.01156084000001556,0.0013603099999954793,0.21762442588806152,0.5449613600000021
0,classification,heart,2,RF,AUC,25,None,1.0,0.92425,0.01482081413269043,0.0029344558715820312,0.014820929999984855,0.002935500000035063,,
0,classification,heart,2,RF-MTRY,AUC,25,"RandomForestClassifier(max_features=0.9850140814307086, n_estimators=25)",1.0,0.8587499999999999,0.04586052894592285,0.0032672882080078125,0.49555492999996886,0.021494739999980084,1.6651153564453125,9.825542009999992
0,classification,heart,2,RF-DEPTH,AUC,25,"RandomForestClassifier(max_depth=2, n_estimators=25)",0.92825,0.931,0.020597457885742188,0.0034761428833007812,0.22505274000002373,0.038172229999986484,1.7636256217956543,10.568103140000005
0,classification,heart,2,HS-RF,AUC,25,10.0,0.9964999999999999,0.9245000000000001,0.026018619537353516,0.002964019775390625,0.026019980000000942,0.002964689999998882,0.47904515266418457,0.7706117600000084
