task,dataset,boot_iter,algorithm,scoring,n_leaves,max_leaves,regularization,train_score,test_score,train_wall_time,test_wall_time,train_cpu_time,test_cpu_time,tunning_wall_time,tunning_cpu_time
classification,heart,0,LBS,AUC,2,2,-1,-1,0.7249999999999999,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,2,2,-1,-1,0.7222222222222222,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,2,2,-1,-1,0.7453703703703703,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,2,2,-1,-1,0.7175925925925926,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,2,2,-1,-1,0.6933198380566803,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,2,2,-1,-1,0.7529321774604794,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,2,2,-1,-1,0.7217261904761906,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,2,2,-1,-1,0.7625000000000001,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,2,2,-1,-1,0.6907114624505929,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,2,2,-1,-1,0.6900452488687783,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,2,2,-1,-1,0.7181818181818183,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,2,2,-1,-1,0.7373481781376517,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,2,2,-1,-1,0.75,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,2,2,-1,-1,0.7160560344827586,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,2,2,-1,-1,0.7374999999999999,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,2,2,-1,-1,0.7314814814814814,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,2,2,-1,-1,0.6975,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,2,2,-1,-1,0.6855203619909502,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,2,2,-1,-1,0.6777777777777778,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,2,2,-1,-1,0.745395719263315,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,2,2,-1,-1,0.6560477849676456,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,2,2,-1,-1,0.6898148148148148,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,2,2,-1,-1,0.749493927125506,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,2,2,-1,-1,0.6884021901443503,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,2,2,-1,-1,0.7129629629629629,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,2,2,-1,-1,0.7229965156794426,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,2,2,-1,-1,0.712987012987013,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,2,2,-1,-1,0.6447963800904977,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,2,2,-1,-1,0.7088103534096566,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,2,2,-1,-1,0.7168831168831169,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,2,2,-1,-1,0.7571644042232277,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,2,2,-1,-1,0.7540821375556656,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,2,2,-1,-1,0.6823354774863929,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,2,2,-1,-1,0.7332005973120954,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,2,2,-1,-1,0.7530364372469636,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,2,2,-1,-1,0.6805555555555556,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,2,2,-1,-1,0.7869866402770905,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,2,2,-1,-1,0.7275,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,2,2,-1,-1,0.7347847600197922,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,2,2,-1,-1,0.7217058501913614,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,2,2,-1,-1,0.6294642857142857,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,4,4,-1,-1,0.7607407407407407,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,4,4,-1,-1,0.8511029411764706,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,4,4,-1,-1,0.8006470881035341,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,4,4,-1,-1,0.8056812468577175,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,4,4,-1,-1,0.7336309523809524,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,4,4,-1,-1,0.8240693523712392,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,4,4,-1,-1,0.7042181069958847,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,4,4,-1,-1,0.8624443344878774,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,4,4,-1,-1,0.776185770750988,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,4,4,-1,-1,0.8011448481831757,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,4,4,-1,-1,0.8063241106719368,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,4,4,-1,-1,0.8148148148148148,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,4,4,-1,-1,0.7941176470588235,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,4,4,-1,-1,0.8150000000000001,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,4,4,-1,-1,0.757011728709842,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,4,4,-1,-1,0.787796442687747,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,4,4,-1,-1,0.7503770739064857,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,4,4,-1,-1,0.8267973856209151,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,4,4,-1,-1,0.759175465057818,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,4,4,-1,-1,0.7596343873517786,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,4,4,-1,-1,0.8074961754207037,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,4,4,-1,-1,0.7730015082956259,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,4,4,-1,-1,0.7752976190476191,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,4,4,-1,-1,0.8415,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,4,4,-1,-1,0.8137860082304527,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,4,4,-1,-1,0.7486419753086421,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,4,4,-1,-1,0.7842937276899541,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,4,4,-1,-1,0.7754446640316206,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,4,4,-1,-1,0.7478845196615233,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,4,4,-1,-1,0.7575308641975309,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,4,4,-1,-1,0.7576671694318754,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,4,4,-1,-1,0.8168724279835392,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,4,4,-1,-1,0.7236363636363636,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,4,4,-1,-1,0.7916666666666666,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,4,4,-1,-1,0.768,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,4,4,-1,-1,0.7458798511430089,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,4,4,-1,-1,0.7154150197628459,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,4,4,-1,-1,0.79525,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,4,4,-1,-1,0.743086978381096,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,4,4,-1,-1,0.7874493927125505,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,4,4,-1,-1,0.8092006033182504,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,4,4,-1,-1,0.8077684314695694,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,4,4,-1,-1,0.7872023809523809,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,4,4,-1,-1,0.8117144293614882,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,4,4,-1,-1,0.8140432098765431,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,4,4,-1,-1,0.7727501256913022,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,4,4,-1,-1,0.6975867269984917,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,4,4,-1,-1,0.7883403361344536,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,4,4,-1,-1,0.7801017524024872,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,4,4,-1,-1,0.8073668491786958,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,4,4,-1,-1,0.7727725236436038,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,4,4,-1,-1,0.7896825396825398,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,4,4,-1,-1,0.7969367588932806,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,4,4,-1,-1,0.7784415584415585,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,4,4,-1,-1,0.780238924838228,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,4,4,-1,-1,0.740824534942182,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,4,4,-1,-1,0.7850790513833992,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,4,4,-1,-1,0.8325617283950617,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,4,4,-1,-1,0.8095355731225297,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,4,4,-1,-1,0.7155301144848184,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,4,4,-1,-1,0.8245,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,4,4,-1,-1,0.7016828148903621,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,4,4,-1,-1,0.7702569169960475,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,4,4,-1,-1,0.8021245059288538,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,4,4,-1,-1,0.7034676185619583,-1,-1,-1,-1,-1,-1
