task,dataset,boot_iter,algorithm,scoring,n_leaves,max_leaves,regularization,train_score,test_score,train_wall_time,test_wall_time,train_cpu_time,test_cpu_time,tunning_wall_time,tunning_cpu_time
classification,heart,0,DT,AUC,27,28,None,0.9964375,0.6944999999999999,0.0004279613494873047,0.00012302398681640625,0.0004272299999996676,0.00012356999999996177,,
classification,heart,0,HS (CART),AUC,27,28,10.0,0.9894375000000001,0.8362499999999999,0.00045180320739746094,0.00041866302490234375,0.0005342100000000904,0.00044837999999991496,0.02027153968811035,0.02027217999999964
classification,heart,0,DT,AUC,29,30,None,0.997375,0.7090000000000001,0.0005288124084472656,0.00015783309936523438,0.0005284400000000744,0.00015870000000006712,,
classification,heart,0,HS (CART),AUC,29,30,25.0,0.987,0.8405,0.00044989585876464844,0.00012373924255371094,0.0004501700000001385,0.0001244599999998819,0.0211179256439209,0.021118739999999914
classification,heart,0,DT,AUC,31,32,None,1.0,0.7375,0.0005104541778564453,0.00014853477478027344,0.0005100099999997276,0.0001488199999997164,,
classification,heart,0,HS (CART),AUC,31,32,1.0,0.9999999999999999,0.8367500000000001,0.0004813671112060547,0.00012540817260742188,0.00048222000000031073,0.00012648999999997912,0.020699262619018555,0.020700779999999863
classification,heart,1,DT,AUC,1,2,None,0.755,0.7675000000000001,0.0003535747528076172,0.0001404285430908203,0.0003525199999998563,0.00014107000000018743,,
classification,heart,1,HS (CART),AUC,1,2,100.0,0.755,0.7675000000000001,0.00010204315185546875,0.0001163482666015625,0.00010247999999979385,0.00011707999999988061,0.013643741607666016,0.013636930000000103
classification,heart,1,DT,AUC,3,4,None,0.854,0.7805000000000001,0.0003399848937988281,0.00012040138244628906,0.00033970000000049794,0.00012071999999996308,,
classification,heart,1,HS (CART),AUC,3,4,0.1,0.854,0.7805000000000001,0.00012874603271484375,0.00011801719665527344,0.00012926999999951505,0.0001186699999999874,0.014911413192749023,0.014912700000000001
classification,heart,1,DT,AUC,7,8,None,0.908875,0.7810000000000001,0.00037097930908203125,0.00011968612670898438,0.0003706199999999882,0.00011988999999967831,,
classification,heart,1,HS (CART),AUC,7,8,100.0,0.8928750000000001,0.8015000000000001,0.00017714500427246094,0.00011730194091796875,0.00017735000000040912,0.00011770999999960452,0.016234636306762695,0.016235380000000355
