,task,dataset,boot_iter,algorithm,scoring,n_trees,regularization,train_score,test_score,train_wall_time,test_wall_time,train_cpu_time,test_cpu_time,tunning_wall_time,tunning_cpu_time
0,classification,heart,2,BART,AUC,300,None,0.8625,0.8225000000000001,20.336812019348145,5.209957122802734,0.8560989709999944,5.2099164999999985,,
0,classification,heart,2,BART,AUC,500,None,0.8574999999999999,0.8225000000000001,33.57303047180176,8.67636227607727,1.5349309689999941,8.676347347000004,,
0,classification,heart,3,BART,AUC,10,None,0.8175,0.7525,0.6740105152130127,0.17369794845581055,0.02836828000000935,0.1736907570000028,,
0,classification,heart,3,BART,AUC,25,None,0.8450000000000001,0.7675000000000001,1.6457650661468506,0.44816088676452637,0.031507269000002225,0.44817796099999896,,
0,classification,heart,3,BART,AUC,50,None,0.8574999999999999,0.81,3.1430160999298096,0.8502531051635742,0.05932380599999476,0.8503632500000009,,
0,classification,heart,3,BART,AUC,75,None,0.86875,0.8,5.111124515533447,1.307384967803955,0.4515574630000003,1.3073873440000057,,
0,classification,heart,3,BART,AUC,100,None,0.8625,0.8,6.670097589492798,1.7585475444793701,0.28245772500000044,1.758559966000007,,
0,classification,heart,3,BART,AUC,300,None,0.86375,0.8125000000000001,21.24078059196472,5.1521031856536865,0.7549809230000051,5.151973904000002,,
0,classification,heart,3,BART,AUC,500,None,0.8625,0.81,34.45506477355957,8.553162097930908,1.446460693000006,8.553164953999996,,
0,classification,heart,4,BART,AUC,10,None,0.8500000000000001,0.8225000000000001,0.7013823986053467,0.17611050605773926,0.05371815600000218,0.1761003079999881,,
0,classification,heart,4,BART,AUC,25,None,0.85125,0.8475,1.619570016860962,0.42436861991882324,0.030019956000003845,0.4243658550000049,,
0,classification,heart,4,BART,AUC,50,None,0.8612500000000001,0.8225000000000001,3.3396947383880615,0.8675429821014404,0.1843183689999961,0.8673050050000057,,
0,classification,heart,4,BART,AUC,75,None,0.8612500000000001,0.8350000000000001,5.012579441070557,1.2956106662750244,0.22994851400000016,1.2955110010000084,,
0,classification,heart,4,BART,AUC,100,None,0.8625,0.8225000000000001,6.575050354003906,1.7133069038391113,0.26683549199999845,1.713308653999988,,
0,classification,heart,4,BART,AUC,300,None,0.8674999999999999,0.8225000000000001,21.11308240890503,5.229541063308716,0.8117076099999991,5.229439344999989,,
0,classification,heart,4,BART,AUC,500,None,0.8574999999999999,0.8350000000000001,34.38461947441101,8.788147449493408,1.3920289770000096,8.78801689800001,,
0,classification,heart,5,BART,AUC,10,None,0.8300000000000001,0.8524999999999999,0.673130989074707,0.1751549243927002,0.02695743699999298,0.1751555379999985,,
0,classification,heart,5,BART,AUC,25,None,0.8550000000000001,0.8424999999999999,1.8810315132141113,0.4401388168334961,0.30090769100000614,0.440160438999996,,
0,classification,heart,5,BART,AUC,50,None,0.8562500000000001,0.8400000000000001,3.5337796211242676,0.8648509979248047,0.12688775399999486,0.8648632830000054,,
0,classification,heart,5,BART,AUC,75,None,0.85125,0.8424999999999999,4.857365846633911,1.291358470916748,0.1642032740000019,1.2913424200000065,,
0,classification,heart,5,BART,AUC,100,None,0.8612500000000001,0.8524999999999999,6.521380424499512,1.7257273197174072,0.26203727099999696,1.7257124570000002,,
0,classification,heart,5,BART,AUC,300,None,0.8450000000000001,0.875,20.18318510055542,5.1573450565338135,0.7483174420000012,5.157329136000001,,
0,classification,heart,5,BART,AUC,500,None,0.84625,0.8524999999999999,34.2261962890625,8.624233961105347,1.3433419639999897,8.624104494000008,,
0,classification,heart,6,BART,AUC,10,None,0.825,0.8150000000000001,0.9033374786376953,0.17244577407836914,0.061009184999988975,0.17244770700000345,,
0,classification,heart,6,BART,AUC,25,None,0.85125,0.8300000000000001,1.7962024211883545,0.43576788902282715,0.03340501799999629,0.4357323680000036,,
0,classification,heart,6,BART,AUC,50,None,0.8562500000000001,0.8400000000000001,3.4230566024780273,0.873337984085083,0.24929501699998013,0.8732790970000224,,
0,classification,heart,6,BART,AUC,75,None,0.86875,0.875,4.889148712158203,1.284235954284668,0.15106887100000677,1.2842164369999978,,
0,classification,heart,6,BART,AUC,100,None,0.8625,0.8524999999999999,6.839940786361694,1.711780071258545,0.2526308799999981,1.7117507229999944,,
