task,dataset,boot_iter,algorithm,scoring,n_leaves,max_leaves,regularization,train_score,test_score,train_wall_time,test_wall_time,train_cpu_time,test_cpu_time,tunning_wall_time,tunning_cpu_time
classification,heart,0,HS (CART-CCP),AUC,31,20,10.0,0.99925,0.8639999999999999,0.0004608631134033203,0.00011873245239257812,0.0004612599999518352,0.00011943999993491161,0.5240335464477539,0.524041890000035
classification,heart,0,CCP,AUC,10,24,0.013333333333333336,0.947625,0.86775,0.00039649009704589844,0.00010919570922851562,0.0003965399999970032,0.00010968999993110629,0.03287243843078613,0.03286809999997331
classification,heart,0,HS (CART-CCP),AUC,10,24,1.0,0.9466249999999999,0.86525,0.0002205371856689453,0.0001366138458251953,0.00022101000001839566,0.0001369799999793031,0.5681736469268799,0.5681799699999601
classification,heart,0,CCP,AUC,4,28,0.020586901214295846,0.8655625,0.82,0.000408172607421875,0.00010943412780761719,0.00040859000000637025,0.00010976999999456893,0.03742718696594238,0.037427309999998215
classification,heart,0,HS (CART-CCP),AUC,4,28,10.0,0.8655625,0.82,0.00013327598571777344,0.0001125335693359375,0.0001333500000555432,0.00011312999993151607,0.5433087348937988,0.5432876999999507
classification,heart,0,CCP,AUC,8,30,0.015873015873015872,0.9305,0.85175,0.00039768218994140625,0.00011134147644042969,0.0003980200000341938,0.00011164000000007945,0.03959393501281738,0.03959419000000253
classification,heart,0,HS (CART-CCP),AUC,8,30,25.0,0.9255,0.85175,0.00018453598022460938,0.00011587142944335938,0.00018484999998236162,0.00011614999993980746,0.5532777309417725,0.5532667100000026
classification,heart,0,CCP,AUC,9,32,0.013756613756613762,0.937875,0.79175,0.0003972053527832031,0.00011229515075683594,0.0003978099999812912,0.00011265000000548753,0.039632558822631836,0.03963253999995686
classification,heart,0,HS (CART-CCP),AUC,9,32,100.0,0.92525,0.85775,0.00019669532775878906,0.00011801719665527344,0.00019692000000759435,0.00011825000001408625,0.5469720363616943,0.5469591199999968
classification,heart,1,CCP,AUC,32,2,0.0,1.0,0.8200000000000001,0.00038743019104003906,0.00011110305786132812,0.0003880099999378217,0.00011141000004499801,0.0046689510345458984,0.004669029999945451
classification,heart,1,HS (CART-CCP),AUC,32,2,10.0,0.9995,0.8405,0.00046372413635253906,0.00011563301086425781,0.0004643899999337009,0.00011617999996360595,0.08895087242126465,0.08893754000007448
classification,heart,1,CCP,AUC,3,4,0.040762458598801045,0.8329375000000001,0.829,0.00041484832763671875,0.00010848045349121094,0.00041523000004417554,0.00010843999996268394,0.006944894790649414,0.006955670000024838
classification,heart,1,HS (CART-CCP),AUC,3,4,0.1,0.8329375000000001,0.829,0.00012373924255371094,0.00011277198791503906,0.00012420999996720639,0.00011270999993939768,0.16067767143249512,0.16082382999991296
classification,heart,1,CCP,AUC,5,8,0.015711412770236285,0.8928750000000001,0.82975,0.00041794776916503906,0.00011038780212402344,0.00041822999992291443,0.00011066000001846987,0.0154571533203125,0.015457110000056673
classification,heart,1,HS (CART-CCP),AUC,5,8,25.0,0.8878750000000001,0.82375,0.00015211105346679688,0.00011610984802246094,0.00015245999998114712,0.00011659000006147835,0.27477455139160156,0.2747689599999603
classification,heart,1,CCP,AUC,11,12,0.010784313725490196,0.9402499999999999,0.8682500000000001,0.0004177093505859375,0.00011229515075683594,0.0004182899999705114,0.00011281000001872599,0.02223944664001465,0.022239740000031816
classification,heart,1,HS (CART-CCP),AUC,11,12,10.0,0.9335,0.854,0.00022077560424804688,0.00012636184692382812,0.00022096999998666433,0.0001268599999093567,0.4046485424041748,0.40462207999996735
classification,heart,1,CCP,AUC,13,15,0.009902144848381422,0.950125,0.866,0.00041675567626953125,0.00011229515075683594,0.0004173499999069463,0.00011274000007688301,0.028719663619995117,0.028719779999960338
classification,heart,1,HS (CART-CCP),AUC,13,15,100.0,0.927625,0.84825,0.00024199485778808594,0.00011658668518066406,0.00024232999999185267,0.00011725000001661101,0.47745847702026367,0.4774671899999703
classification,heart,1,CCP,AUC,6,20,0.01484567901234568,0.8975625,0.83975,0.0004200935363769531,0.000110626220703125,0.0004206399999020505,0.00011100000006081245,0.03518509864807129,0.0351852300000246
classification,heart,1,HS (CART-CCP),AUC,6,20,100.0,0.8895625,0.8322499999999999,0.00015807151794433594,0.00011610984802246094,0.00015830000006644696,0.00011662000008527684,0.5277440547943115,0.5277340000000095
classification,heart,1,CCP,AUC,11,24,0.010784313725490196,0.9402499999999999,0.8682500000000001,0.00041985511779785156,0.000110626220703125,0.0004201799999918876,0.00011128000005555805,0.041822195053100586,0.04188274000000547
classification,heart,1,HS (CART-CCP),AUC,11,24,100.0,0.925,0.852,0.00022673606872558594,0.00011658668518066406,0.0002271800000244184,0.00011719000008270086,0.5508885383605957,0.5508837700000413
