dataset,n_leaves,score
friedman1,2,0.41043241019914467
friedman1,2,0.38639941510463593
friedman1,2,0.3929068005654862
friedman1,2,0.30652927537238406
friedman1,2,0.19512845604177653
friedman1,2,0.38108215657429256
friedman1,2,0.2940724804236595
friedman1,2,0.26363929549617704
friedman1,2,0.2816872526686829
friedman1,2,0.34779731878829634
friedman1,2,0.2575100852511324
friedman1,2,0.34204089582292685
friedman1,2,0.331730521664122
friedman1,2,0.3118877201957102
friedman1,2,0.34836844679937407
friedman1,2,0.39677794327390437
friedman1,2,0.34090874728764675
friedman1,2,0.40830614215166094
friedman1,2,0.27783896187648627
friedman1,2,0.16501080721538575
friedman1,2,0.40973705963024665
friedman1,2,0.24169763744484352
friedman1,2,0.3456544861792018
friedman1,2,0.30914126323681757
friedman1,2,0.34423157147241046
friedman1,2,0.39321373348157995
friedman1,2,0.40496964011247893
friedman1,2,0.2348242756670974
friedman1,2,0.15005354920791314
friedman1,2,0.18342479348403118
friedman1,2,0.40843832934653534
friedman1,2,0.3997293396708109
friedman1,2,0.23932015300491827
friedman1,2,0.18879021386546213
friedman1,2,0.4166235752215304
friedman1,2,0.30526874160341666
friedman1,2,0.36992976612333217
friedman1,2,0.3580729541818414
friedman1,2,0.3587085006618318
friedman1,2,0.28750599817270917
friedman1,2,0.29917019150967206
friedman1,2,0.42782229889456436
friedman1,2,0.406789281206821
friedman1,2,0.40413124880491835
friedman1,2,0.30119511963777057
friedman1,2,0.39729301260789485
friedman1,2,0.2101601792445319
friedman1,2,0.3323718016740813
friedman1,2,0.24719955616461753
friedman1,2,0.2898279717967315
friedman1,2,0.129056022447944
friedman1,2,0.2315456115851242
friedman1,2,-0.017726058669231604
friedman1,2,0.3698498606722538
friedman1,2,0.3806156047638214
friedman1,2,0.29208237157656236
friedman1,2,-0.013693662696670383
friedman1,2,-0.05415094345032534
friedman1,2,0.19001049328397046
friedman1,2,0.1965784772312249
friedman1,2,0.4409906906371849
friedman1,2,0.3235908495938682
friedman1,2,0.2019428370003843
friedman1,2,0.3424913661396206
friedman1,2,0.3272972327857596
friedman1,2,0.2671984903026826
friedman1,2,0.30498089305874565
friedman1,2,0.23354328458173412
friedman1,2,0.31279440442120365
friedman1,2,0.12891084616006077
friedman1,2,0.33975678971602086
friedman1,2,0.10156255726877927
friedman1,2,0.2921978275315169
friedman1,2,0.34072449308607466
friedman1,2,0.3352329146545826
friedman1,2,0.35494795983707117
friedman1,2,0.27879956348642343
friedman1,2,-0.29054109888121227
friedman1,2,0.20949174002230353
friedman1,2,0.3143709494924234
friedman1,2,-0.14387934446127626
friedman1,2,0.3093199095375849
friedman1,2,0.2492766247111643
friedman1,2,0.19722571877085993
friedman1,2,0.33494080749011634
friedman1,2,0.2886104442294577
friedman1,2,0.28887576029577133
friedman1,2,0.11954030240196001
friedman1,2,0.21659702021607963
friedman1,2,0.29824297068783057
friedman1,2,0.29406219651231535
friedman1,2,0.39107320360331455
friedman1,2,0.3242067293011237
friedman1,2,0.24478360829777723
friedman1,2,0.26317957736304687
friedman1,2,0.19104856436811546
friedman1,2,0.23955168777915725
friedman1,2,0.39369478345477016
friedman1,2,0.40315200713633503
friedman1,2,0.2923264321852369
friedman1,4,0.1880314013619534
friedman1,4,0.35990319248684166
friedman1,4,0.34650190150336646
friedman1,4,0.5483041582968573
friedman1,4,0.44350656422617263
friedman1,4,0.4280441340588583
friedman1,4,0.3544573803155028
friedman1,4,0.2584934241625605
friedman1,4,0.2715970244136289
friedman1,4,0.3372688704155704
friedman1,4,0.3707782995059653
friedman1,4,0.3271222916442905
friedman1,4,0.44113122140539773
friedman1,4,0.3623986432220816
friedman1,4,0.34670206394748704
friedman1,4,0.49457308566523006
friedman1,4,0.4799224861609084
friedman1,4,0.4735166957446473
