dataset,n_leaves,score
heart,2,0.6777777777777778
heart,2,0.745395719263315
heart,2,0.6560477849676456
heart,2,0.6898148148148148
heart,2,0.749493927125506
heart,2,0.6884021901443503
heart,2,0.7129629629629629
heart,2,0.7229965156794426
heart,2,0.712987012987013
heart,2,0.6447963800904977
heart,2,0.7088103534096566
heart,2,0.7168831168831169
heart,2,0.7571644042232277
heart,2,0.7540821375556656
heart,2,0.6823354774863929
heart,2,0.7332005973120954
heart,2,0.7530364372469636
heart,2,0.6805555555555556
heart,2,0.7869866402770905
heart,2,0.7275
heart,2,0.7347847600197922
heart,2,0.7217058501913614
heart,2,0.6294642857142857
heart,4,0.7607407407407407
heart,4,0.8511029411764706
heart,4,0.8006470881035341
heart,4,0.8056812468577175
heart,4,0.7336309523809524
heart,4,0.8240693523712392
heart,4,0.7042181069958847
heart,4,0.8624443344878774
heart,4,0.776185770750988
heart,4,0.8011448481831757
heart,4,0.8063241106719368
heart,4,0.8148148148148148
heart,4,0.7941176470588235
heart,4,0.8150000000000001
heart,4,0.757011728709842
heart,4,0.787796442687747
heart,4,0.7503770739064857
heart,4,0.8267973856209151
heart,4,0.759175465057818
heart,4,0.7596343873517786
heart,4,0.8074961754207037
heart,4,0.7730015082956259
heart,4,0.7752976190476191
heart,4,0.8415
heart,4,0.8137860082304527
heart,4,0.7486419753086421
heart,4,0.7842937276899541
heart,4,0.7754446640316206
heart,4,0.7478845196615233
heart,4,0.7575308641975309
heart,4,0.7576671694318754
heart,4,0.8168724279835392
heart,4,0.7236363636363636
heart,4,0.7916666666666666
heart,4,0.768
heart,4,0.7458798511430089
heart,4,0.7154150197628459
heart,4,0.79525
heart,4,0.743086978381096
heart,4,0.7874493927125505
heart,4,0.8092006033182504
heart,4,0.8077684314695694
heart,4,0.7872023809523809
heart,4,0.8117144293614882
heart,4,0.8140432098765431
heart,4,0.7727501256913022
heart,4,0.6975867269984917
heart,4,0.7883403361344536
heart,4,0.7801017524024872
heart,4,0.8073668491786958
heart,4,0.7727725236436038
heart,4,0.7896825396825398
heart,4,0.7969367588932806
heart,4,0.7784415584415585
heart,4,0.780238924838228
heart,4,0.740824534942182
heart,4,0.7850790513833992
heart,4,0.8325617283950617
heart,4,0.8095355731225297
heart,4,0.7155301144848184
heart,4,0.8245
heart,4,0.7016828148903621
heart,4,0.7702569169960475
heart,4,0.8021245059288538
heart,4,0.7034676185619583
heart,4,0.8041729512317746
heart,4,0.8214285714285714
heart,4,0.8007500000000001
heart,4,0.8107287449392713
heart,4,0.7496288965858486
heart,4,0.6935
heart,4,0.779265873015873
heart,4,0.8623693379790941
heart,4,0.7659357470678225
heart,4,0.7518853695324285
heart,4,0.8353246753246752
heart,4,0.7077922077922079
heart,4,0.7936784469885515
heart,4,0.7697859631657542
heart,4,0.719020907700153
heart,4,0.8173868312757201
heart,4,0.8
heart,4,0.740327380952381
heart,4,0.708312593330015
heart,4,0.7989049278247884
heart,4,0.7970423253442123
heart,4,0.8018774703557313
heart,4,0.7823376623376623
heart,4,0.7837704106877783
heart,4,0.8081481481481483
heart,4,0.7751196172248803
heart,4,0.7485119047619047
heart,4,0.8035619351408825
heart,4,0.8199404761904762
heart,4,0.8020779220779222
heart,4,0.7416625186660031
heart,4,0.7722500000000001
heart,4,0.7778327560613558
heart,4,0.7911896465903435
heart,4,0.7583502024291499
heart,8,0.8348765432098766
heart,8,0.9274691358024691
heart,8,0.8638449770525242
heart,8,0.7875816993464051
heart,8,0.8355654761904762
heart,8,0.8617283950617285
heart,8,0.7949035131123207
heart,8,0.8499461206896551
heart,8,0.8574999999999999
heart,8,0.7914398812469075
heart,8,0.8433794466403162
heart,8,0.7915
heart,8,0.7979094076655051
heart,8,0.8380246913580246
heart,8,0.7131724484665661
heart,8,0.8737648221343874
heart,8,0.8335064935064935
heart,8,0.8632499999999999
heart,8,0.821953781512605
heart,8,0.6829268292682927
heart,8,0.8066202090592334
heart,8,0.7894474863115979
heart,8,0.8201385452746166
heart,8,0.8033906882591093
heart,8,0.8124685771744595
heart,8,0.9065
heart,8,0.79725
heart,8,0.7887008461921354
heart,8,0.727012987012987
heart,8,0.8691241959426026
heart,8,0.751855517070757
heart,8,0.7618218018914883
heart,8,0.8292924294903513
heart,8,0.8357256778309411
