dataset,n_leaves,score
heart,2,0.7206477732793523
heart,2,0.7274349821519633
heart,2,0.7100202429149798
heart,2,0.7268518518518519
heart,2,0.7453703703703703
heart,2,0.7099802371541503
heart,2,0.7520242914979757
heart,2,0.6485671191553545
heart,2,0.7779990044798407
heart,2,0.7
heart,2,0.7546296296296297
heart,2,0.7750000000000001
heart,4,0.6900303643724697
heart,4,0.74688899950224
heart,4,0.7904858299595141
heart,4,0.8046757164404224
heart,4,0.8205194805194804
heart,4,0.7618312757201646
heart,4,0.7747611865258925
heart,4,0.6581477732793523
heart,4,0.7739624505928854
heart,4,0.7507591093117408
heart,4,0.7580246913580246
heart,4,0.7739999999999999
heart,4,0.7678571428571428
heart,4,0.7621920563097034
heart,4,0.726
heart,4,0.8112139917695473
heart,4,0.7638128422100547
heart,4,0.7368831168831169
heart,4,0.7575908412145345
heart,4,0.7838961038961039
heart,4,0.7474022761009401
heart,4,0.7606275303643725
heart,4,0.7261256803562594
heart,4,0.6872529644268777
heart,4,0.794176207068193
heart,4,0.8557063851181498
heart,4,0.7919362867098059
heart,4,0.7267532467532467
heart,4,0.8125925925925925
heart,4,0.7602880658436214
heart,4,0.7839506172839507
heart,4,0.7653061224489797
heart,4,0.8067788223651657
heart,4,0.8111111111111111
heart,4,0.8472222222222221
heart,4,0.7921626984126984
heart,4,0.7713293650793651
heart,4,0.7815437902028699
heart,4,0.792906746031746
heart,4,0.7089920948616601
heart,4,0.8090415019762845
heart,4,0.8011133603238866
heart,4,0.7685276679841897
heart,4,0.7834821428571427
heart,4,0.698340874811463
heart,4,0.767786561264822
heart,4,0.7723100458949517
heart,4,0.748015873015873
heart,4,0.8453996983408748
heart,4,0.8317901234567902
heart,4,0.73156853043048
heart,4,0.8142857142857143
heart,4,0.7491289198606274
heart,4,0.8666002986560478
heart,4,0.7447478991596639
heart,4,0.7511473737888832
heart,4,0.8225974025974027
heart,4,0.7849794238683129
heart,4,0.8372975708502024
heart,4,0.7420948616600791
heart,4,0.76425
heart,4,0.8180686908909905
heart,4,0.6689895470383275
heart,4,0.7062747035573123
heart,4,0.7767857142857143
heart,4,0.7641558441558443
heart,4,0.7824788451966151
heart,4,0.7806670435274166
heart,4,0.87875
heart,4,0.7615840517241379
heart,4,0.7345373577436912
heart,4,0.7818930041152263
heart,4,0.7502572016460904
heart,4,0.7850678733031674
heart,4,0.7823026646556059
heart,4,0.7409698169223157
heart,4,0.7762896825396824
heart,4,0.8246228448275863
heart,4,0.795257521672616
heart,4,0.8198911429985156
heart,4,0.7991093518060366
heart,4,0.7834743653558985
heart,4,0.7864372469635628
heart,4,0.7001028806584363
heart,4,0.6423611111111109
heart,4,0.8081481481481482
heart,4,0.7535802469135803
heart,4,0.6954051383399209
heart,4,0.726998491704374
heart,4,0.7090080971659919
heart,4,0.691637630662021
heart,4,0.8031674208144797
heart,4,0.863335033146354
heart,4,0.7874564459930314
heart,4,0.7905
heart,4,0.8366596638655461
heart,4,0.7537055335968379
heart,4,0.7344497607655504
heart,4,0.8287500000000001
heart,4,0.8067312595614482
heart,8,0.7789610389610391
heart,8,0.7798119742701632
heart,8,0.74575
heart,8,0.9031856645097063
heart,8,0.8433943592281049
heart,8,0.8680241327300151
heart,8,0.7943948412698412
heart,8,0.7707390648567117
heart,8,0.784
heart,8,0.8190651260504203
heart,8,0.8366596638655462
heart,8,0.8310000000000001
heart,8,0.7893518518518519
heart,8,0.8102500000000001
heart,8,0.8805047006432459
heart,8,0.8292924294903513
heart,8,0.8725878278080158
heart,8,0.7910079051383399
heart,8,0.7594805194805195
heart,8,0.805541810984661
heart,8,0.85575
heart,8,0.8100621820237422
heart,8,0.7815485168426345
heart,8,0.8508164275111331
heart,8,0.895998023715415
heart,8,0.8836032388663969
heart,8,0.7577931716971795
heart,8,0.8145843703334992
heart,8,0.8739999999999999
heart,8,0.779753086419753
heart,8,0.7292490118577075
heart,8,0.7959486166007906
heart,8,0.7262319561971129
heart,8,0.790095525389643
heart,8,0.7239372469635628
heart,8,0.8394396551724137
heart,8,0.814125446200918
heart,8,0.7767857142857144
heart,8,0.8822499999999999
heart,8,0.8850076491585925
heart,8,0.8268280632411068
heart,8,0.860530341662417
heart,8,0.8656605640771895
heart,8,0.7868275515334338
heart,8,0.7983911513323279
heart,8,0.8565066798614547
heart,8,0.8275606135576448
heart,8,0.8290450272142504
heart,8,0.7045
heart,8,0.75075
heart,8,0.8472222222222224
heart,8,0.7953983176645225
heart,8,0.8200100553041729
heart,8,0.9031168831168832
heart,8,0.8318250377073907
heart,8,0.6839999999999999
heart,8,0.8722165991902834
heart,8,0.8076923076923078
heart,8,0.8320764203117145
heart,8,0.7958931222167245
heart,8,0.8213755566551213
heart,8,0.7818480043739748
heart,8,0.8137400793650794
heart,8,0.7887845849802373
heart,8,0.8675595238095237
heart,8,0.8120680489101543
heart,8,0.8856209150326798
heart,8,0.8383609854198091
heart,8,0.8355
heart,8,0.8561958184599694
heart,8,0.8423353909465022
heart,8,0.7162499999999999
heart,8,0.8973599137931034
heart,8,0.7952575216726161
heart,8,0.7838961038961039
heart,8,0.8294753086419754
heart,8,0.8176440329218106
heart,8,0.7707390648567118
heart,8,0.8240840517241379
heart,8,0.8377976190476191
heart,8,0.7110323886639677
heart,8,0.8240546218487395
heart,8,0.8094135802469137
heart,8,0.87
heart,8,0.8107287449392713
heart,8,0.8541562966650075
heart,8,0.825286212045794
heart,8,0.7994071146245061
heart,8,0.6901298701298701
heart,8,0.8771035186129525
heart,8,0.7350617283950618
heart,8,0.7874493927125507
heart,8,0.8750622200099551
heart,8,0.835133744855967
heart,8,0.8705533596837944
heart,8,0.8182716049382716
heart,8,0.8636111111111111
heart,8,0.8180686908909904
heart,8,0.750759109311741
heart,8,0.808051948051948
heart,12,0.8117268678871845
heart,12,0.8390376984126984
heart,12,0.8488142292490118
heart,12,0.8654835390946503
heart,12,0.8142857142857143
heart,12,0.770748987854251
heart,12,0.8196924603174603
heart,12,0.7717770034843204
heart,12,0.825910931174089
heart,12,0.8041729512317748
heart,12,0.8919480519480519
heart,12,0.7921851667496267
heart,12,0.7840387557368689
heart,12,0.869
heart,12,0.7411067193675889
heart,12,0.8505
heart,12,0.8727226720647773
heart,12,0.7599296128707893
heart,12,0.8160776505724241
heart,12,0.8164525691699605
heart,12,0.784512617516081
heart,12,0.7837232453957194
