task,dataset,boot_iter,algorithm,scoring,n_trees,regularization,train_score,test_score,train_wall_time,test_wall_time,train_cpu_time,test_cpu_time,tunning_wall_time,tunning_cpu_time
classification,juvenile,0,RF,AUC,50,None,0.9997621313035204,0.6737959174143235,0.0801739692687988,0.0174193382263183,0.0801739300000008,0.0174195999999966,,
classification,juvenile,0,RF-MTRY,AUC,50,"RandomForestClassifier(max_features=0.8739227661112298, n_estimators=50)",0.9984567901234568,0.719020156088563,0.5853903293609619,0.015066385269165,1.1580386700000105,0.0150664900000094,13.752225875854492,22.449375961
classification,juvenile,0,RF-DEPTH,AUC,50,"RandomForestClassifier(max_depth=1, n_estimators=50)",0.5,0.5,0.053401231765747,0.0110237598419189,0.52055541,0.0166008300000015,3.3273684978485107,12.058830821
classification,juvenile,0,HS-RF,AUC,50,1.0,0.9969135802469136,0.6648561405147303,0.2345712184906005,0.0171301364898681,0.2347219300000063,0.0171309899999982,3.2390193939208984,3.23904666
classification,juvenile,0,BART,AUC,50,None,0.7034540884049288,0.6653318779076894,18.308003187179565,30.304128646850582,1.6331410009999985,30.304129912000008,,
classification,juvenile,0,RF,AUC,75,None,1.0,0.6782906142557775,0.1209869384765625,0.0260612964630126,0.1209799399999838,0.0260616600000105,,
classification,juvenile,0,RF-MTRY,AUC,75,"RandomForestClassifier(max_features=0.1, n_estimators=75)",1.0,0.6775521997746813,0.1769647598266601,0.0250098705291748,0.7011037299999998,0.0250102500000082,17.349447011947632,25.756542642
classification,juvenile,0,RF-DEPTH,AUC,75,"RandomForestClassifier(max_depth=3, n_estimators=75)",0.6257077327882911,0.5870541056428876,0.0852835178375244,0.0177748203277587,0.5955757199999994,0.0177753000000109,4.826876401901245,13.426631690000022
classification,juvenile,0,HS-RF,AUC,75,10.0,0.8976724107551891,0.6469269699322293,0.3645508289337158,0.0258927345275878,0.3645456899999999,0.0258938199999931,4.964597702026367,4.965342611000011
classification,juvenile,0,BART,AUC,75,None,0.7109322690911654,0.6780775539509553,27.097228050231934,47.23104691505432,2.330295769999992,47.23139213499999,,
classification,juvenile,0,RF,AUC,100,None,1.0,0.6686124228750884,0.1613483428955078,0.0348198413848876,0.1613545800000224,0.0348206000000175,,
classification,juvenile,0,RF-MTRY,AUC,100,RandomForestClassifier(max_features=0.1),1.0,0.6858031789764932,0.2297694683074951,0.0333650112152099,0.6983172799999693,0.0333656199999836,24.746228456497192,33.07609879200001
classification,juvenile,0,RF-DEPTH,AUC,100,RandomForestClassifier(max_depth=4),0.6685578696362078,0.6030803266535523,0.1177496910095214,0.0245285034179687,0.6296006200000193,0.0245289999999727,5.951154947280884,14.598521011000004
