,task,dataset,boot_iter,algorithm,scoring,n_leaves,max_leaves,regularization,train_score,test_score,train_wall_time,test_wall_time,train_cpu_time,test_cpu_time,tunning_wall_time,tunning_cpu_time
32,classification,heart,1,DT,AUC,23,24,None,0.993375,0.7057500000000001,0.0005545616149902,0.0001475811004638,0.0005541499999992,0.0001483899999996,,
33,classification,heart,1,HS (CART),AUC,23,24,0.1,0.993375,0.76025,0.0003786087036132,0.0001249313354492,0.0003796000000004,0.0001256500000001,0.0198376178741455,0.0198382999999999
34,classification,heart,1,DT,AUC,27,28,None,0.9981875,0.6990000000000001,0.0004999637603759,0.0001397132873535,0.0004995,0.0001400299999998,,
35,classification,heart,1,HS (CART),AUC,27,28,50.0,0.9796875,0.8079999999999999,0.0004317760467529,0.0001335144042968,0.0004324799999997,0.0001345099999996,0.0201983451843261,0.0202001499999999
36,classification,heart,1,DT,AUC,29,30,None,0.99925,0.7060000000000002,0.0004975795745849,0.0001423358917236,0.0004974200000003,0.0001427400000002,,
37,classification,heart,1,HS (CART),AUC,29,30,10.0,0.99675,0.806,0.0004529953002929,0.0001304149627685,0.00045333,0.0001310500000002,0.0208940505981445,0.0211142300000002
38,classification,heart,1,DT,AUC,31,32,None,0.999875,0.7000000000000002,0.0005519390106201,0.0001556873321533,0.0005518099999992,0.0001563100000003,,
39,classification,heart,1,HS (CART),AUC,31,32,10.0,0.9985,0.798,0.0004651546478271,0.0001201629638671,0.0004653799999996,0.0001209299999995,0.0201406478881835,0.0201409599999999
40,classification,heart,2,DT,AUC,1,2,None,0.77875,0.7,0.0002968311309814,0.0001366138458251,0.0002970800000001,0.0001369900000005,,
41,classification,heart,2,HS (CART),AUC,1,2,50.0,0.77875,0.7,0.0001046657562255,0.0001206398010253,0.0001047999999999,0.0001215600000001,0.0139040946960449,0.0138987200000002
42,classification,heart,2,DT,AUC,3,4,None,0.8373750000000001,0.7905,0.0003328323364257,0.0001332759857177,0.0003326499999998,0.0001338300000002,,
43,classification,heart,2,HS (CART),AUC,3,4,50.0,0.8373750000000001,0.7905,0.0001270771026611,0.0001223087310791,0.00012743,0.00012275,0.0153355598449707,0.0153360500000001
44,classification,heart,2,DT,AUC,7,8,None,0.9034375,0.869,0.000422716140747,0.0001406669616699,0.0004221399999995,0.0001411899999999,,
45,classification,heart,2,HS (CART),AUC,7,8,100.0,0.8870625000000001,0.8740000000000001,0.0001754760742187,0.0001232624053955,0.00017551,0.0001236399999999,0.0167527198791503,0.0167535499999997
46,classification,heart,2,DT,AUC,11,12,None,0.9383125,0.83775,0.0003983974456787,0.0001335144042968,0.0003982599999998,0.0001336900000001,,
47,classification,heart,2,HS (CART),AUC,11,12,50.0,0.9220625,0.881,0.0002179145812988,0.0001180171966552,0.0002181299999994,0.0001185299999999,0.0171194076538085,0.0171202000000008
48,classification,heart,2,DT,AUC,14,15,None,0.957625,0.83975,0.0004208087921142,0.0001337528228759,0.0004205700000001,0.0001343099999999,,
49,classification,heart,2,HS (CART),AUC,14,15,50.0,0.929875,0.8895000000000001,0.0002741813659667,0.0001215934753417,0.0002746399999997,0.0001222399999996,0.0178394317626953,0.0178402100000001
50,classification,heart,2,DT,AUC,19,20,None,0.9754375,0.8314999999999999,0.0004565715789794,0.000138521194458,0.00045655,0.0001388799999997,,
51,classification,heart,2,HS (CART),AUC,19,20,25.0,0.9534375,0.8845000000000001,0.0003135204315185,0.0001168251037597,0.0003137299999993,0.0001172,0.0189719200134277,0.0189725000000002
52,classification,heart,2,DT,AUC,23,24,None,0.9794375,0.8285,0.000436782836914,0.0001373291015625,0.0004369200000002,0.00013752,,
53,classification,heart,2,HS (CART),AUC,23,24,100.0,0.9359375,0.87975,0.0003633499145507,0.0001180171966552,0.0003635800000001,0.0001184700000003,0.0193054676055908,0.0193058599999993
54,classification,heart,2,DT,AUC,27,28,None,0.9850625,0.8465,0.00046968460083,0.0001380443572998,0.0004693900000001,0.0001383300000004,,
55,classification,heart,2,HS (CART),AUC,27,28,25.0,0.9685625,0.90075,0.0004169940948486,0.0001187324523925,0.0004175499999998,0.0001193999999999,0.019815444946289,0.0198163400000002
56,classification,heart,2,DT,AUC,29,30,None,0.9899375,0.8165,0.0004587173461914,0.0001368522644042,0.0004586399999997,0.0001371600000004,,
57,classification,heart,2,HS (CART),AUC,29,30,25.0,0.9765625,0.8927499999999999,0.0004458427429199,0.0001223087310791,0.0004466500000006,0.0001230200000001,0.0204243659973144,0.0205590299999993
58,classification,heart,2,DT,AUC,31,32,None,0.992875,0.8380000000000001,0.000474214553833,0.0001425743103027,0.0004741499999996,0.0001431399999995,,
59,classification,heart,2,HS (CART),AUC,31,32,0.1,0.992875,0.88175,0.0004653930664062,0.0001192092895507,0.0004655300000004,0.0001196600000001,0.019303560256958,0.0193041499999999
60,classification,heart,3,DT,AUC,1,2,None,0.76875,0.74,0.0003111362457275,0.0001418590545654,0.0003108000000002,0.0001419300000007,,
61,classification,heart,3,HS (CART),AUC,1,2,100.0,0.76875,0.74,9.822845458984376e-05,0.000117540359497,9.856999999957594e-05,0.00011793,0.0138740539550781,0.0138739799999996
62,classification,heart,3,DT,AUC,3,4,None,0.8416250000000001,0.7540000000000001,0.0003798007965087,0.0001437664031982,0.0003791099999999,0.0001440299999995,,
63,classification,heart,3,HS (CART),AUC,3,4,25.0,0.8416250000000001,0.7540000000000001,0.0001349449157714,0.0001208782196044,0.0001355800000002,0.0001214999999996,0.0154030323028564,0.0154037399999999
64,classification,heart,3,DT,AUC,7,8,None,0.8906875000000001,0.766,0.0003817081451416,0.0001342296600341,0.0003813700000003,0.0001344099999993,,
65,classification,heart,3,HS (CART),AUC,7,8,50.0,0.8810625,0.76775,0.0001778602600097,0.000119924545288,0.0001784599999998,0.0001201799999996,0.0160708427429199,0.0160713399999998
66,classification,heart,3,DT,AUC,11,12,None,0.9371874999999998,0.84075,0.0004336833953857,0.0001344680786132,0.0004333599999997,0.0001349899999993,,
67,classification,heart,3,HS (CART),AUC,11,12,25.0,0.9299375,0.835,0.0002202987670898,0.0001142024993896,0.0002202800000006,0.0001145900000008,0.0171787738800048,0.0171794799999993
68,classification,heart,3,DT,AUC,14,15,None,0.9558125,0.73975,0.0004787445068359,0.000140905380249,0.0004784200000003,0.0001415600000003,,
